Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6
-0.49182195513742766,-0.4511436060646418,2.3895331290739086,2.439903686599307,3.038325630212682,3.0480178386652943
-0.4675557260316964,-0.42172687696924654,2.376448437503151,2.4256366609325477,3.0533078143397323,3.0566671887066788
-0.44292870173586846,-0.39199608626698224,2.365694415387896,2.412107006300581,3.0651803758226457,3.069700400378849
-0.4184943262935696,-0.36253270142431776,2.3571773855873768,2.3992888210074748,3.074078249622034,3.0879284390711876
-0.39469614529511665,-0.3338045503199482,2.350478393460153,2.3868906558507894,3.0840722128639753,3.108551545448508
-0.37184382300928415,-0.30613798238533724,2.344862241205613,2.3744003842039474,3.0960264609911534,3.1321941586167665
-0.35010101932481563,-0.2797027510238962,2.339331574187887,2.361160752926279,3.110888049989655,3.1594571395521815
-0.32948682049038014,-0.25451194999844023,2.332733647926609,2.346467598912798,3.12957954741121,3.1908204669169584
-0.3098905583197567,-0.2304371529235348,2.3239109600248518,2.329673704980238,3.1528632805458714,3.2265539409867046
-0.29109804507060527,-0.20723669162961733,2.310277410350344,2.311865710726413,3.1812052000573674,3.26665485387442
-0.27282594922680387,-0.1845933736852994,2.287979819969061,2.2958951748684076,3.2146776188130826,3.3108255492539307
-0.25476049237583775,-0.1621572440765504,2.262705634247509,2.2756632511662818,3.252931202070135,3.3584920672881955
-0.23659683824275296,-0.13958923947324225,2.234593907554391,2.251200417182616,3.295239860075948,3.40885396847368
-0.21807623696123388,-0.11660246863887017,2.203971032715554,2.2228518159781214,3.340595574588157,3.460950126173091
-0.19901886216044998,-0.09299896345238888,2.171317971115282,2.1912045568443492,3.387819937502739,3.513726421939869
-0.17935105357027725,-0.0687007128153937,2.137239755257587,2.1570194759276644,3.4356659756816974,3.566096037106659
-0.15912617299369813,-0.043774377758919125,2.1024406576487045,2.1211796056167835,3.482897410041393,3.6169881532442503
-0.138538426160824,-0.018449183969968863,2.0677048735072683,2.0846565423334042,3.528343644733842,3.6653845557508324
-0.11792881961947943,0.006872909254829196,2.0338804259050636,2.048489774243725,3.570934503604615,3.7103455808175854
-0.09778201467272984,0.031616479797606345,2.001862924273559,2.013771726972181,3.609720209796926,3.7510275069658845
-0.07871240682935926,0.055044102832524144,1.9725754173099266,1.981630885691009,3.643881461253251,3.786693439296215
-0.06143761447803095,0.07628358305735605,1.9469407740576352,1.9532057768066915,3.6727331877353158,3.816719388019761
-0.04673813182641891,0.0943744420882758,1.9258439933742546,1.9296038669994522,3.695724391639537,3.8405968391794323
-0.03540361549524894,0.10833513292103603,1.9100839043273823,1.9118423263295847,3.712435589196887,3.857932759615374
-0.028169273754758188,0.11724778598161609,1.9003169890944616,1.900772854827453,3.722574776296679,3.8684477017660477
-0.02564957438928328,0.12035042561071718,1.8969999999999998,1.8969999999999998,3.7259724748049043,3.8719724748049034
-0.028279562217771573,0.11712007952124365,1.9003412480217408,1.900809119597458,3.7225761997397013,3.868443713054434
-0.036274615299941956,0.10732815897764088,1.9102710620365764,1.9121223023602216,3.712444570425485,3.857898585026713
-0.04961631809586336,0.09105491136995278,1.9264388180817147,1.9304951895407807,3.6957412324383876,3.840468833363271
-0.06806598584504311,0.06866135727277357,1.9482378219819771,1.9551560484312964,3.6727287374156754,3.816374306982809
-0.09120072797397846,0.040729291031959415,1.9748526952867922,1.9850762821344397,3.643762528432065,3.785916134285646
-0.11846257397699148,0.007986668389005816,2.0053195535977393,2.019054808791311,3.609285187300417,3.7494696848599878
-0.14921044240690112,-0.028764998510968164,2.0385885215337094,2.055799446259228,3.569821104150173,3.7074774727716266
-0.1827669899208279,-0.06871033861589945,2.0735803806758013,2.0939941822520316,3.525971710955714,3.6604421638368727
-0.2184559174994358,-0.11106273916001169,2.1092326841878357,2.1323480155609595,3.4784113489379687,3.6089198586505185
-0.25562855419978436,-0.15509068385660063,2.1445339187582713,2.1696262137525797,3.4278836620266357,3.5535138273641294
-0.2936806899117437,-0.2001310994435676,2.1785464645955943,2.204667699816417,3.3751980367598398,3.494868862448839
-0.3320616305667639,-0.24559355056676402,2.210420156124985,2.2363935402855315,3.3212249119619535,3.4336663761224986
-0.37027762347688775,-0.2909586300016014,2.2393985290043332,2.2638121999341725,3.2668876073859447,3.3706202717910703
-0.40789152889624286,-0.3357730452848532,2.2648197821024367,2.2860281024359823,3.213146612580388,3.306473416525324
-0.4445201836256317,-0.379643086050853,2.286114445967671,2.302261117445187,3.1609703923619943,3.2419941614142864
-0.4798304777644067,-0.4222275159369498,2.3028019901271284,2.311884682966575,3.111286049925374,3.1779717045922817
-0.5135348170245293,-0.46323048770747466,2.3144866028882665,2.31448926270538,3.06490642618639,3.115208095686331
-0.545386385995422,-0.5023947971607728,2.3099459884593356,2.3208746660656345,3.0224405158467698,3.0545034270751197
-0.5751744527379635,-0.5394956261269425,2.2985032852847036,2.3217627835627757,2.9842104563850347,2.996629784717986
-0.6027198445356003,-0.5743348386616893,2.2807882155478274,2.3170934040770743,2.942290202611264,2.950210385266602
-0.6278706613734393,-0.6067358584747865,2.2577784284071196,2.30698443042198,2.892063275124361,2.920134474240568
-0.650498263934944,-0.6365391498048397,2.2306922144318877,2.2917788833741435,2.846343338147028,2.893470892959181
