Alpha,Energy
0.34,1.8276627365010176
0.34,1.8503610413094516
0.34,1.8570747511134797
0.34,1.8571830019137143
0.34,1.8871860676122054
0.34,1.8880819052965707
0.34,1.9142142555345034
0.34,1.9207544155411913
0.34,1.9443818004650901
0.34,1.964528521598075
0.34,1.9871877375957918
0.34,2.078424754954975
0.34,2.0994196654806183
0.34,2.11683410934361
0.34,2.130055278148493
0.34,2.1443087930190066
0.34,2.1477632750160556
0.34,2.1640390863249634
0.34,2.16809514491908
0.34,2.1730741326586966
0.34,2.189038473135305
0.34,2.197393580750042
0.34,2.2105420109727243
0.34,2.2267263591447386
0.34,2.2370454739419467
0.34,2.260935650931933
0.34,2.267871297446713
0.34,4.161120877204398
0.34,4.167279627234964
0.34,4.1702815979496926
0.34,4.172827737772284
0.34,4.174815122962529
0.34,4.176775542696911
0.34,4.177393056374725
0.34,4.17970739873417
0.34,4.179743606762702
0.34,4.180008136236589
0.34,4.180077847172841
0.34,4.181567340881156
0.34,4.181593493179818
0.34,4.182592810011372
0.34,4.182619602604298
0.34,4.183652474624009
0.34,4.183669525191296
0.34,4.40998636614843
0.34,4.414429919864444
0.34,4.41837399058564
0.34,4.420604411610149
0.34,4.426346715955038
0.34,4.426422212738017
0.34,4.439599675039338
0.34,4.439599738871414
0.34,4.460874993565432
0.34,4.460874993569825
0.34,4.49076439476124
0.34,4.490764396745302
0.34,4.52781921717444
0.34,4.527826396994515
0.34,4.555241389663134
0.34,4.564990504808312
0.34,4.628316371217241
0.34,4.651187544592488
0.34,4.699312369995849
0.34,4.699520056480434
0.34,4.749173720744721
0.34,4.749173911807311
0.34,4.797698902915354
0.34,4.7976989029557355
0.34,4.84121645423907
0.34,4.841216454239221
0.34,4.877326065774561
0.34,4.877326066930086
0.34,4.904281773564747
0.34,4.904285023814793
0.34,4.920262071525877
0.34,4.921214739455429
0.34,4.927612692240493
0.38,-1.6940677433879838
0.38,-1.693953899324954
0.38,-1.6851859764343762
0.38,-1.6848018517885217
0.38,-1.6774958237642086
0.38,-1.6627435190250381
0.38,-1.6322916703154569
0.38,-1.6062049518300958
0.38,-1.6008865403183208
0.38,-1.5963355634591905
0.38,-1.5829889228699194
0.38,-1.582503271494194
0.38,-1.422710858014656
0.38,-1.4222941981284785
0.38,-1.4034385241504015
0.38,-1.4005590331530589
0.38,-1.3867434710871087
0.38,-1.380580884674946
0.38,-1.3785711550120407
0.38,-0.861550981416122
0.38,-0.8547708383176914
0.38,-0.8487609065671176
0.38,-0.8386665331596888
0.38,-0.8306904131043277
0.38,-0.8019130212656473
0.38,-0.7934040051831891
0.38,-0.7696231131935931
0.38,-0.7576502131536839
